"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"WKHS","Workhorse Group, Inc.","2.83","116389223.22","n/a","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/wkhs",
"WRLD","World Acceptance Corporation","83.54","739876521.16","n/a","1991","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/wrld",
"WPCS","WPCS International Incorporated","1.22","6435850.14","n/a","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/wpcs",
"WMGI","Wright Medical Group N.V.","23.72","2490965691.24","n/a","2011","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/wmgi",
"WMGIZ","Wright Medical Group N.V.","1.52","0","n/a","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/wmgiz",
"WSFS","WSFS Financial Corporation","50.25","1577341570.5","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wsfs",
"WSCI","WSI Industries Inc.","3.262","9655324.28","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/wsci",
"WVFC","WVS Financial Corp.","15.01","30142241.44","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/wvfc",
"WYNN","Wynn Resorts, Limited","159.01","16343452162.43","n/a","2002","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/wynn",
"XBIT","XBiotech Inc.","4.14","146712376.08","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xbit",
"XELB","Xcel Brands, Inc","2.55","47064842.55","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/xelb",
"XCRA","Xcerra Corporation","9.915","542466485.67","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/xcra",
"XNCR","Xencor, Inc.","21.49","1009188602.03","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xncr",
"XBIO","Xenetic Biosciences, Inc.","2.15","18742713.15","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xbio",
"XBKS","Xenith Bankshares, Inc.","35.4","821840594.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/xbks",
"XENE","Xenon Pharmaceuticals Inc.","2.3","41396366","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xene",
"XGTI","XG Technology, Inc","1.65","24238699.65","n/a","2013","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/xgti",
"XGTIW","XG Technology, Inc","4.07","0","n/a","2013","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/xgtiw",
"XLNX","Xilinx, Inc.","68.24","17125025281.84","n/a","1990","Technology","Semiconductors","http://www.nasdaq.com/symbol/xlnx",
"GLDI","X-Links Gold Shares Covered Call ETN","8.94","120917093.88","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/gldi",
"SLVO","X-Links Silver Shares Covered Call ETN","7.7301","6570585","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/slvo",
"XOMA","XOMA Corporation","31.14","253606557.78","n/a","1986","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xoma",
"XPER","Xperi Corporation","19.05","939438024.6","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/xper",
"XPLR","Xplore Technologies Corp","3.01","33172924.05","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/xplr",
"XTLB","XTL Biopharmaceuticals Ltd.","2.41","3279706.34","1360874","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xtlb",
"XNET","Xunlei Limited","15.43","479867337.19","31099633","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/xnet",
"YNDX","Yandex N.V.","32.53","10597486806.53","n/a","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/yndx",
"YERR","Yangtze River Development Limited","15.54","2678232690.84","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/yerr",
"YTRA","Yatra Online, Inc.","8.89","300738512.06","n/a","n/a","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/ytra",
"YTEN","Yield10 Bioscience, Inc.","2.16","7477302.24","n/a","n/a","Basic Industries","Containers/Packaging","http://www.nasdaq.com/symbol/yten",
"YIN","Yintech Investment Holdings Limited","9.99","111421037.43","11153257","2016","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/yin",
"YOGA","YogaWorks, Inc.","2.55","41866710.9","n/a","2017","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/yoga",
"YGYI","Youngevity International, Inc.","4.66","91910508.1","n/a","n/a","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/ygyi",
"YRCW","YRC Worldwide, Inc.","12.42","416297447.46","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/yrcw",
"YECO","Yulong Eco-Materials Limited","3.36","8101178.4","n/a","2017","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/yeco",
"YY","YY Inc.","100.73","4736571791.42","47022454","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/yy",
"ZFGN","Zafgen, Inc.","3.95","108583355.15","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zfgn",
"ZAGG","ZAGG Inc","20.15","563700602.4","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/zagg",
"ZLAB","Zai Lab Limited","25.92","152487360","5883000","2017","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zlab",
"ZAIS","ZAIS Group Holdings, Inc.","3.73","55036571.49","n/a","2013","Finance","Investment Managers","http://www.nasdaq.com/symbol/zais",
"ZEAL","Zealand Pharma A/S","14.1","61655803.2","4372752","2017","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zeal",
